,,F6,,,,,,,,,,,
,,F7,,,,,,,,,,,
,,F8,,,,,,,,,,,
8,CH,F9,00000000,PCA base timer high,,,,,,,,,
8,CCAP0H,FA,00000000,PCA module 0 capture register high,,,,,,,,,
8,CCAP1H,FB,00000000,PCA module 1 capture register high,,,,,,,,,
,,FC,,,,,,,,,,,
,,FD,,,,,,,,,,,
,,FE,,,,,,,,,,,
,,FF,,,,,,,,,,,
,,,,,,,,,,,,,
V,EXTINT0,03,0,External interrupt 0
V,TIMER0,0B,1,Timer 0 interrupt
V,EXTINT1,13,2,External interrupt 1
V,TIMER1,1B,3,Timer 1 interrupt
V,UART1,23,4,UART 1 interrupt
V,ADC,2B,5,ADC interrupt
V,LVD,33,6,Low-voltage detector interrupt
V,PCA,3B,7,PCA interrupt
V,UART2,43,8,UART 2 interrupt
V,SPI,4B,9,SPI interrupt
,,,,,,,,,,,,,
#,F_CPU,,11095200UL,,,,,,,,,,
#,T_CPU,1,,,,,,,,,,,
I,inline void enableExtendedSFR() {/* For compatibility. */}
I,inline void disableExtendedSFR() {/* For compatibility. */}
