8,P7M0,E2,,Port 7 configuration 0,,,,,,,,,
,,E3,,,,,,,,,,,
,,E4,,,,,,,,,,,
,,E5,,,,,,,,,,,
,,E6,,,,,,,,,,,
,,E7,,,,,,,,,,,
8,P6,E8,,Port 6,,,,,,,,,
8,CL,E9,00000000,PCA base timer low,,,,,,,,,
8,CCAP0L,EA,00000000,PCA module 0 capture register low,,,,,,,,,
8,CCAP1L,EB,00000000,PCA module 1 capture register low,,,,,,,,,
8,CCAP2L,EC,00000000,PCA module 2 capture register low,,,,,,,,,
,,ED,,,,,,,,,,,
,,EE,,,,,,,,,,,
,,EF,,,,,,,,,,,
8,B,F0,00000000,B register,,,,,,,,,
8,PWMCFG,F1,00000000,PWM configuration register,,-,CBTADC,C7INI,C6INI,C5INI,C4INI,C3INI,C2INI
8,PCA_PWM0,F2,xxxxxx00,PCA PWM mode auxiliary register 0,,EBS0_1,EBS0_0,-,-,-,-,EPC0H,EPC0L
8,PCA_PWM1,F3,xxxxxx00,PCA PWM mode auxiliary register 1,,EBS1_1,EBS1_0,-,-,-,-,EPC1H,EPC1L
8,PCA_PWM2,F4,xxxxxx00,PCA PWM mode auxiliary register 2,,EBS2_1,EBS2_0,-,-,-,-,EPC2H,EPC2L
8,PWMCR,F5,00000000,PWM control register,,ENPWM,ECBI,ENC7O,ENC6O,ENC5O,ENC4O,ENC3O,ENC2O
8,PWMIF,F6,x0000000,PWM interrupt flag,,-,CBIF,C7IF,C6IF,C5IF,C4IF,C3IF,C2IF
8,PWMFDCR,F7,xx000000,PWM exception detection control register,,-,-,ENFD,FLTFLIO,EFDI,FDCMP,FDIO,FDIF
,,F8,,,,,,,,,,,
8,CH,F9,00000000,PCA base timer high,,,,,,,,,
8,CCAP0H,FA,00000000,PCA module 0 capture register high,,,,,,,,,
8,CCAP1H,FB,00000000,PCA module 1 capture register high,,,,,,,,,
8,CCAP2H,FC,00000000,PCA module 2 capture register high,,,,,,,,,
,,FD,,,,,,,,,,,
,,FE,,,,,,,,,,,
,,FF,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Symbol,Address,Default,Description,Compatibility,Bit 7,Bit 6,Bit 5,Bit 4,Bit 3,Bit 2,Bit 1,Bit 0
8,PWM2T1H,FF00,x0000000,PWM2 Timer 1 high,,-,,,,,,,
8,PWM2T1L,FF01,00000000,PWM2 Timer 1 low,,,,,,,,,
8,PWM2T2H,FF02,x0000000,PWM2 Timer 2 high,,-,,,,,,,
8,PWM2T2L,FF03,00000000,PWM2 Timer 2 low,,,,,,,,,
8,PWM2CR,FF04,xxxx0000,PWM2 control register,,-,-,-,-,PWM2_PS,EPWM2I,EC2T2SI,EC2T1SI
,,...,,,,,,,,,,,
8,PWM3T1H,FF10,x0000000,PWM3 Timer 1 high,,-,,,,,,,
8,PWM3T1L,FF11,00000000,PWM3 Timer 1 low,,,,,,,,,
8,PWM3T2H,FF12,x0000000,PWM3 Timer 2 high,,-,,,,,,,
8,PWM3T2L,FF13,00000000,PWM3 Timer 2 low,,,,,,,,,
8,PWM3CR,FF14,xxxx0000,PWM3 control register,,-,-,-,-,PWM3_PS,EPWM3I,EC3T2SI,EC3T1SI
,,...,,,,,,,,,,,
8,PWM4T1H,FF20,x0000000,PWM4 Timer 1 high,,-,,,,,,,
8,PWM4T1L,FF21,00000000,PWM4 Timer 1 low,,,,,,,,,
8,PWM4T2H,FF22,x0000000,PWM4 Timer 2 high,,-,,,,,,,
8,PWM4T2L,FF23,00000000,PWM4 Timer 2 low,,,,,,,,,
8,PWM4CR,FF24,xxxx0000,PWM4 control register,,-,-,-,-,PWM4_PS,EPWM4I,EC4T2SI,EC4T1SI
,,...,,,,,,,,,,,
8,PWM5T1H,FF30,x0000000,PWM5 Timer 1 high,,-,,,,,,,
8,PWM5T1L,FF31,00000000,PWM5 Timer 1 low,,,,,,,,,
8,PWM5T2H,FF32,x0000000,PWM5 Timer 2 high,,-,,,,,,,
8,PWM5T2L,FF33,00000000,PWM5 Timer 2 low,,,,,,,,,
8,PWM5CR,FF34,xxxx0000,PWM5 control register,,-,-,-,-,PWM5_PS,EPWM5I,EC5T2SI,EC5T1SI
,,...,,,,,,,,,,,
8,PWM6T1H,FF40,x0000000,PWM6 Timer 1 high,,-,,,,,,,
8,PWM6T1L,FF41,00000000,PWM6 Timer 1 low,,,,,,,,,
8,PWM6T2H,FF42,x0000000,PWM6 Timer 2 high,,-,,,,,,,
8,PWM6T2L,FF43,00000000,PWM6 Timer 2 low,,,,,,,,,
8,PWM6CR,FF44,xxxx0000,PWM6 control register,,-,-,-,-,PWM6_PS,EPWM6I,EC6T2SI,EC6T1SI
,,...,,,,,,,,,,,
8,PWM7T1H,FF50,x0000000,PWM7 Timer 1 high,,-,,,,,,,
8,PWM7T1L,FF51,00000000,PWM7 Timer 1 low,,,,,,,,,
8,PWM7T2H,FF52,x0000000,PWM7 Timer 2 high,,-,,,,,,,
8,PWM7T2L,FF53,00000000,PWM7 Timer 2 low,,,,,,,,,
8,PWM7CR,FF54,xxxx0000,PWM7 control register,,-,-,-,-,PWM7_PS,EPWM7I,EC7T2SI,EC7T1SI
,,...,,,,,,,,,,,
8,PWMCH,FFF0,x0000000,PWM counter high,,,,,,,,,
8,PWMCL,FFF1,00000000,PWM counter low,,,,,,,,,
8,PWMCKS,FFF2,xxx00000,PWM clock selection register,,-,-,-,SELT2,PS3,PS2,PS1,PS0
,,...,,,,,,,,,,,
,,,,,,,,,,,,,
V,EXTINT0,03,0,External interrupt 0
V,TIMER0,0B,1,Timer 0 interrupt
V,EXTINT1,13,2,External interrupt 1
V,TIMER1,1B,3,Timer 1 interrupt
V,UART1,23,4,UART 1 interrupt
V,ADC,2B,5,ADC interrupt
V,LVD,33,6,Low-voltage detector interrupt
V,PCA,3B,7,PCA interrupt
V,UART2,43,8,UART 2 interrupt
V,SPI,4B,9,SPI interrupt
V,EXTINT2,53,10,External interrupt 2 (falling edge only)
V,EXTINT3,5B,11,External interrupt 3 (falling edge only)
V,TIMER2,63,12,Timer 2 interrupt
V,EXTINT4,83,16,External interrupt 4 (falling edge only)
V,UART3,8B,17,UART 3 interrupt
V,UART4,93,18,UART 4 interrupt
V,TIMER3,9B,19,Timer 3 interrupt
V,TIMER4,A3,20,Timer 4 interrupt
V,CMP,AB,21,Comparator interrupt
V,PWM,B3,22,Enhanced PWM (STC15W4KxxS4 only) interrupt
V,PWMFD,BB,23,Enhanced PWM (STC15W4KxxS4 only) fault detection interrupt
,,,,,,,,,,,,,
#,F_CPU,24000000UL,,,,,,,,,,,
#,T_CPU,1,,,,,,,,,,,
I,inline void enableExtendedSFR() { P_SW2 |= EAXSFR; }
I,inline void disableExtendedSFR() { P_SW2 &= ~EAXSFR; }
