8,S2CON,E3,01000000,Serial port 2 control register,,S2SM0,-,S2SM2,S2REN,S2TB8,S2RB8,S2TI,S2RI
8,S2BUF,E4,00000000,Serial port 2 buffer register,,,,,,,,,
8,S3CON,E5,00000000,Serial port 3 control register,,S3SM0,S3ST4,S3SM2,S3REN,S3TB8,S3RB8,S3TI,S3RI
8,S3BUF,E6,00000000,Serial port 3 buffer register,,,,,,,,,
8,IE2,E7,00000000,Interrupt enable register 2,,-,ET4,ET3,ES4,ES3,ET2,ESPI,ES2
8,P6,E8,,Port 6,,,,,,,,,
,,E9,,,,,,,,,,,
8,MXAX,EA,00000001,MOVX extended address register,,,,,,,,,
8,TA,EB,00000000,DPTR timing control register,,,,,,,,,
8,P5M1,EC,xxx11111,P5 port configuration register 1,,,,,,,,,
8,P5M0,ED,xxx00000,P5 port configuration register 0,,,,,,,,,
8,P6M1,EE,11111111,P6 port configuration register 1,,,,,,,,,
8,P6M0,EF,00000000,P6 port configuration register 0,,,,,,,,,
8,B,F0,00000000,B register,,,,,,,,,
8,P0M1,F1,00000000,P0 port configuration register 1,,,,,,,,,
8,P0M0,F2,00000000,P0 port configuration register 0,,,,,,,,,
8,P1M1,F3,00000000,P1 port configuration register 1,,,,,,,,,
8,P1M0,F4,00000000,P1 port configuration register 0,,,,,,,,,
8,P2M1,F5,00000000,P2 port configuration register 1,,,,,,,,,
8,P2M0,F6,00000000,P2 port configuration register 0,,,,,,,,,
8,IAP_TPS,F7,xx000000,IAP latency control register,,-,-,IAPTPS5,IAPTPS4,IAPTPS3,IAPTPS2,IAPTPS1,IAPTPS0
8,P7,F8,11111111,Port 7,,,,,,,,,
8,P3M1,F9,00000000,P3 port configuration register 1,,,,,,,,,
8,P3M0,FA,00000000,P3 port configuration register 0,,,,,,,,,
8,P4M1,FB,00000000,P4 port configuration register 1,,,,,,,,,
8,P4M0,FC,00000000,P4 port configuration register 0,,,,,,,,,
8,WDT_CONTR,FD,0x000000,Watchdog control register,,WDT_FLAG,-,EN_WDT,CLR_WDT,IDL_WDT,WDT_PS2,WDT_PS1,WDT_PS0
8,IP2,FE,00000000,Interrupt priority control register 2 low,,-,PI2C,PCMPH,PX4,PPWMB,PPWMA,PSPI,PS2
8,RSTCFG,FF,00000000,Reset configuration register,,-,ENLVR,-,P54RST,-,-,LVDS1,LVDS0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Symbol,Address,Default,Description,Compatibility,Bit 7,Bit 6,Bit 5,Bit 4,Bit 3,Bit 2,Bit 1,Bit 0
8,MD3,7EFCF0,00000000,MDU data register,,,,,,,,,
8,MD2,7EFCF1,00000000,MDU data register,,,,,,,,,
8,MD1,7EFCF2,00000000,MDU data register,,,,,,,,,
8,MD0,7EFCF3,00000000,MDU data register,,,,,,,,,
8,MD5,7EFCF4,00000000,MDU data register,,,,,,,,,
8,MD4,7EFCF5,00000000,MDU data register,,,,,,,,,
8,ARCON,7EFCF6,00000000,MDU mode control register,,MODE2,MODE1,MODE0,SC4,SC3,SC2,SC1,SC0
8,OPCON,7EFCF7,00000000,MDU operation control register,,-,MDOV,-,-,-,-,RST,ENOP
,,...,,,,,,,,,,,
8,CKSEL,7EFE00,xxxxxx00,Clock selection register,,-,-,-,-,-,-,MCKSEL1,MCKSEL0
8,CLKDIV,7EFE01,00000100,Clock divider register,,,,,,,,,
8,IRC24MCR,7EFE02,1xxxxxx0,Internal 24MHz RC oscillator control register,,ENIRC24M,-,-,-,-,-,-,IRC24MST
8,XOSCCR,7EFE03,00xxxxx0,External crystal oscillator control register,,ENXOSC,XITYPE,-,-,-,-,-,XOSCST
8,IRC32KCR,7EFE04,0xxxxxx0,Internal 32kHz RC oscillator control register,,ENIRC32K,-,-,-,-,-,-,IRC32KST
8,PLLCR,7EFE05,00000000,PLL control register,,ENPLL,PLLSSEL1,PLLSSEL0,PLLINCTL1,PLLINCTL0,PLLTOMSEL1,PLLTOMSEL0,PLLST
8,USBCON1,7EFE06,00000000,USB control register 1,,ENLDO33,TRIMPLL1,TRIMPLL0,TRIMLDO333,TRIMLDO332,TRIMLDO331,TRIMLDO330,-
8,MCLKOCR,7EFE07,00000000,Master clock output control register,,MCLKO_S,MCLKODIV6,MCLKODIV5,MCLKODIV4,MCLKODIV3,MCLKODIV2,MCLKODIV1,MCLKODIV0
8,IRC48MCR,7EFE08,1xxxxxx0,Internal 48MHz RC oscillator control register,,ENIRC48M,-,-,-,-,-,-,IRC48MST
8,IRC48ATRIM,7EFE09,00000000,Internal 48MHz RC oscillator TRIM register A,,-,-,-,ATRIM4,ATRIM3,ATRIM2,ATRIM1,ATRIM0
8,IRC48BTRIM,7EFE0A,00000000,Internal 48MHz RC oscillator TRIM register B,,,,,,,,,
8,IRCDB,7EFE0B,10000000,Internal high-speed oscillator debounce control,,,,,,,,,
,,...,,,,,,,,,,,
8,P0PU,7EFE10,00000000,Port 0 pull-up resistor control register,,,,,,,,,
8,P1PU,7EFE11,00000000,Port 1 pull-up resistor control register,,,,,,,,,
8,P2PU,7EFE12,00000000,Port 2 pull-up resistor control register,,,,,,,,,
8,P3PU,7EFE13,00000000,Port 3 pull-up resistor control register,,,,,,,,,
8,P4PU,7EFE14,00000000,Port 4 pull-up resistor control register,,,,,,,,,
8,P5PU,7EFE15,xxx00000,Port 5 pull-up resistor control register,,-,-,-,,,,,
8,P6PU,7EFE16,00000000,Port 6 pull-up resistor control register,,,,,,,,,
8,P7PU,7EFE17,00000000,Port 7 pull-up resistor control register,,,,,,,,,
8,P0NCS,7EFE18,00000000,Port 0 Schmidt trigger control register,,,,,,,,,
8,P1NCS,7EFE19,00000000,Port 1 Schmidt trigger control register,,,,,,,,,
8,P2NCS,7EFE1A,00000000,Port 2 Schmidt trigger control register,,,,,,,,,
8,P3NCS,7EFE1B,00000000,Port 3 Schmidt trigger control register,,,,,,,,,
8,P4NCS,7EFE1C,00000000,Port 4 Schmidt trigger control register,,,,,,,,,
8,P5NCS,7EFE1D,xxx00000,Port 5 Schmidt trigger control register,,-,-,-,,,,,
8,P6NCS,7EFE1E,00000000,Port 6 Schmidt trigger control register,,,,,,,,,
8,P7NCS,7EFE1F,00000000,Port 7 Schmidt trigger control register,,,,,,,,,
8,P0SR,7EFE20,11111111,Port 0 level transition rate register,,,,,,,,,
8,P1SR,7EFE21,11111111,Port 1 level transition rate register,,,,,,,,,
8,P2SR,7EFE22,11111111,Port 2 level transition rate register,,,,,,,,,
8,P3SR,7EFE23,11111111,Port 3 level transition rate register,,,,,,,,,
8,P4SR,7EFE24,11111111,Port 4 level transition rate register,,,,,,,,,
8,P5SR,7EFE25,xxx11111,Port 5 level transition rate register,,-,-,-,,,,,
8,P6SR,7EFE26,11111111,Port 6 level transition rate register,,,,,,,,,
8,P7SR,7EFE27,11111111,Port 7 level transition rate register,,,,,,,,,
8,P0DR,7EFE28,11111111,Port 0 drive current control register,,,,,,,,,
8,P1DR,7EFE29,11111111,Port 1 drive current control register,,,,,,,,,
8,P2DR,7EFE2A,11111111,Port 2 drive current control register,,,,,,,,,
8,P3DR,7EFE2B,11111111,Port 3 drive current control register,,,,,,,,,
8,P4DR,7EFE2C,11111111,Port 4 drive current control register,,,,,,,,,
8,P5DR,7EFE2D,xxx11111,Port 5 drive current control register,,-,-,-,,,,,
8,P6DR,7EFE2E,11111111,Port 6 drive current control register,,,,,,,,,
8,P7DR,7EFE2F,11111111,Port 7 drive current control register,,,,,,,,,
8,P0IE,7EFE30,11111111,Port 0 input enable control register,,,,,,,,,
8,P1IE,7EFE31,11111111,Port 1 input enable control register,,,,,,,,,
8,P3IE,7EFE33,11111111,Port 3 input enable control register,,,,,,,,,
,,...,,,,,,,,,,,
8,I2CCFG,7EFE80,00000000,I2C configuration register,,ENI2C,MSSL,MSSPEED5,MSSPEED4,MSSPEED3,MSSPEED2,MSSPEED1,MSSPEED0
8,I2CMSCR,7EFE81,0xxx0000,I2C host control register,,EMSI,-,-,-,MSCMD3,MSCMD2,MSCMD1,MSCMD0
8,I2CMSST,7EFE82,00xxxx00,I2C host status register,,MSBUSY,MSIF,-,-,-,-,MSACKI,MSACKO
8,I2CSLCR,7EFE83,x0000xx0,I2C slave control register,,-,ESTAI,ERXI,ETXI,ESTOI,-,-,SLRST
8,I2CSLST,7EFE84,00000000,I2C slave status register,,SLBUSY,STAIF,RXIF,TXIF,STOIF,TXING,SLACKI,SLACKO
8,I2CSLADR,7EFE85,00000000,I2C slave address register,,SLADR6,SLADR5,SLADR4,SLADR3,SLADR2,SLADR1,SLADR0,MA
8,I2CTXD,7EFE86,00000000,I2C data transmission register,,,,,,,,,
8,I2CRXD,7EFE87,00000000,I2C data receive register,,,,,,,,,
8,I2CMSAUX,7EFE88,xxxxxxx0,I2C host auxiliary control register,,-,-,-,-,-,-,-,WDTA
,,...,,,,,,,,,,,
8,TM2PS,7EFEA2,00000000,Timer 2 clock prescaler register,,,,,,,,,
8,TM3PS,7EFEA3,00000000,Timer 3 clock prescaler register,,,,,,,,,
8,TM4PS,7EFEA4,00000000,Timer 4 clock prescaler register,,,,,,,,,
,,...,,,,,,,,,,,
8,ADCTIM,7EFEAB,00101010,ADC timing control register,,CSSETUP,CSHOLD1,CSHOLD0,SMPDUTY4,SMPDUTY3,SMPDUTY2,SMPDUTY1,SMPDUTY0
8,T3T4PIN,7EFEAC,xxxxxxx0,T3/T4 selection register,,-,-,-,-,-,-,-,T3T4SEL
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Symbol,Address,Default,Description,Compatibility,Bit 7,Bit 6,Bit 5,Bit 4,Bit 3,Bit 2,Bit 1,Bit 0
8,PWMA_ETRPS,7EFEB0,xxxxx000,PWMA ETR select register,,-,-,-,-,-,BRKAPS,ETRAPS1,ETRAPS0
8,PWMA_ENO,7EFEB1,00000000,PWMA output enable control,,ENO4N,ENO4P,ENO3N,ENO3P,ENO2N,ENO2P,ENO1N,ENO1P
8,PWMA_PS,7EFEB2,00000000,PWMA output pin selection register,,C4PS1,C4PS0,C3PS1,C3PS0,C2PS1,C2PS0,C1PS1,C1PS0
8,PWMA_IOAUX,7EFEB3,00000000,PWMA auxiliary register,,AUX4N,AUX4P,AUX3N,AUX3P,AUX2N,AUX2P,AUX1N,AUX1P
8,PWMB_ETRPS,7EFEB4,xxxxx000,PWMB ETR select register,,-,-,-,-,-,BRKBPS,ETRBPS1,ETRBPS0
8,PWMB_ENO,7EFEB5,x0x0x0x0,PWMB output enable control,,-,ENO8P,-,ENO7P,-,ENO6P,-,ENO5P
8,PWMB_PS,7EFEB6,00000000,PWMB output pin selection register,,C8PS1,C8PS0,C7PS1,C7PS0,C6PS1,C6PS0,C5PS1,C5PS0
8,PWMB_IOAUX,7EFEB7,x0x0x0x0,PWMB auxiliary register,,-,AUX8P,-,AUX7P,-,AUX6P,-,AUX5P
,,...,,,,,,,,,,,
8,PWMA_CR1,7EFEC0,00000000,PWMA control register 1,,ARPE,CMS1,CMS0,DIR,OPM,URS,UDIS,CEN
8,PWMA_CR2,7EFEC1,x000x0x0,PWMA control register 2,,-,MMS2,MMS1,MMS0,-,COMS,-,CCPC
8,PWMA_SMCR,7EFEC2,0000x000,PWMA slave mode control register,,MSM,TS2,TS1,TS0,-,SMS2,SMS1,SMS0
8,PWMA_ETR,7EFEC3,00000000,PWMA external trigger register,,ETP,ECE,ETPS1,ETPS0,ETF3,ETF2,ETF1,ETF0
8,PWMA_IER,7EFEC4,00000000,PWMA interrupt enable register,,BIE,TIE,COMIE,CC4IE,CC3IE,CC2IE,CC1IE,UIE
8,PWMA_SR1,7EFEC5,00000000,PWMA status register 1,,BIF,TIF,COMIF,CC4IF,CC3IF,CC2IF,CC1IF,UIF
8,PWMA_SR2,7EFEC6,xxx0000x,PWMA status register 2,,-,-,-,CC4OF,CC3OF,CC2OF,CC1OF,-
8,PWMA_EGR,7EFEC7,00000000,PWMA event register,,BG,TG,COMG,CC4G,CC3G,CC2G,CC1G,UG
8,PWMA_CCMR1,7EFEC8,00000000,PWMA capture mode register 1,,OC1CE,OC1M2,OC1M1,OC1M0,OC1PE,OC1FE,CC1S1,CC1S0
8,PWMA_CCMR1,7EFEC8,00000000,PWMA compare mode register 1,,IC1F3,IC1F2,IC1F1,IC1F0,IC1PSC1,IC1PSC0,CC1S1,CC1S0
8,PWMA_CCMR2,7EFEC9,00000000,PWMA capture mode register 2,,OC2CE,OC2M2,OC2M1,OC2M0,OC2PE,OC2FE,CC2S1,CC2S0
8,PWMA_CCMR2,7EFEC9,00000000,PWMA compare mode register 2,,IC2F3,IC2F2,IC2F1,IC2F0,IC2PSC1,IC2PSC0,CC2S1,CC2S0
8,PWMA_CCMR3,7EFECA,00000000,PWMA capture mode register 3,,OC3CE,OC3M2,OC3M1,OC3M0,OC3PE,OC3FE,CC3S1,CC3S0
8,PWMA_CCMR3,7EFECA,00000000,PWMA compare mode register 3,,IC3F3,IC3F2,IC3F1,IC3F0,IC3PSC1,IC3PSC0,CC3S1,CC3S0
8,PWMA_CCMR4,7EFECB,00000000,PWMA capture mode register 4,,OC4CE,OC4M2,OC4M1,OC4M0,OC4PE,OC4FE,CC4S1,CC4S0
8,PWMA_CCMR4,7EFECB,00000000,PWMA compare mode register 4,,IC4F3,IC4F2,IC4F1,IC4F0,IC4PSC1,IC4PSC0,CC4S1,CC4S0
8,PWMA_CCER1,7EFECC,00000000,PWMA capture compare enable register 1,,CC2NP,CC2NE,CC2P,CC2E,CC1NP,CC1NE,CC1P,CC1E
8,PWMA_CCER2,7EFECD,00000000,PWMA capture compare enable register 2,,CC4NP,CC4NE,CC4P,CC4E,CC3NP,CC3NE,CC3P,CC3E
8,PWMA_CNTRH,7EFECE,00000000,PWMA counter high byte,,,,,,,,,
8,PWMA_CNTRL,7EFECF,00000000,PWMA counter low byte,,,,,,,,,
8,PWMA_PSCRH,7EFED0,00000000,PWMA prescale high byte,,,,,,,,,
8,PWMA_PSCRL,7EFED1,00000000,PWMA prescale low byte,,,,,,,,,
8,PWMA_ARRH,7EFED2,00000000,PWMA auto-reload register high byte,,,,,,,,,
8,PWMA_ARRL,7EFED3,00000000,PWMA auto-reload register low byte,,,,,,,,,
8,PWMA_RCR,7EFED4,00000000,PWMA repeat counter register,,,,,,,,,
8,PWMA_CCR1H,7EFED5,00000000,PWMA compare capture register 1 high byte,,,,,,,,,
8,PWMA_CCR1L,7EFED6,00000000,PWMA compare capture register 1 low byte,,,,,,,,,
8,PWMA_CCR2H,7EFED7,00000000,PWMA compare capture register 2 high byte,,,,,,,,,
8,PWMA_CCR2L,7EFED8,00000000,PWMA compare capture register 2 low byte,,,,,,,,,
8,PWMA_CCR3H,7EFED9,00000000,PWMA compare capture register 3 high byte,,,,,,,,,
8,PWMA_CCR3L,7EFEDA,00000000,PWMA compare capture register 3 low byte,,,,,,,,,
8,PWMA_CCR4H,7EFEDB,00000000,PWMA compare capture register 4 high byte,,,,,,,,,
8,PWMA_CCR4L,7EFEDC,00000000,PWMA compare capture register 4 low byte,,,,,,,,,
8,PWMA_BKR,7EFEDD,00000000,PWMA brake register,,MOE,AOE,BKP,BKE,OSSR,OSSI,LOCK1,LOCK0
8,PWMA_DTR,7EFEDE,00000000,PWMA dead time control register,,,,,,,,,
8,PWMA_OISR,7EFEDF,00000000,PWMA output idle status register,,OIS4N,OIS4,OIS3N,OIS3,OIS2N,OIS2,OIS1N,OIS1
,,,,,,,,,,,,,
8,PWMB_CR1,7EFEE0,00000000,PWMB control register 1,,ARPE,CMS1,CMS0,DIR,OPM,URS,UDIS,CEN
8,PWMB_CR2,7EFEE1,x000x0x0,PWMB control register 2,,-,MMS2,MMS1,MMS0,-,COMS,-,CCPC
8,PWMB_SMCR,7EFEE2,0000x000,PWMB slave mode control register,,MSM,TS2,TS1,TS0,-,SMS2,SMS1,SMS0
8,PWMB_ETR,7EFEE3,00000000,PWMB external trigger register,,ETP,ECE,ETPS1,ETPS0,ETF3,ETF2,ETF1,ETF0
8,PWMB_IER,7EFEE4,00000000,PWMB interrupt enable register,,BIE,TIE,COMIE,CC8IE,CC7IE,CC6IE,CC5IE,UIE
8,PWMB_SR1,7EFEE5,00000000,PWMB status register 1,,BIF,TIF,COMIF,CC8IF,CC7IF,CC6IF,CC5IF,UIF
8,PWMB_SR2,7EFEE6,xxx0000x,PWMB status register 2,,-,-,-,CC8OF,CC7OF,CC6OF,CC5OF,-
8,PWMB_EGR,7EFEE7,00000000,PWMB event register,,BG,TG,COMG,CC8G,CC7G,CC6G,CC5G,UG
8,PWMB_CCMR1,7EFEE8,00000000,PWMB capture mode register 1,,OC5CE,OC5M2,OC5M1,OC5M0,OC5PE,OC5FE,CC5S1,CC5S0
8,PWMB_CCMR1,7EFEE8,00000000,PWMB compare mode register 1,,IC5F3,IC5F2,IC5F1,IC5F0,IC5PSC1,IC5PSC0,CC5S1,CC5S0
8,PWMB_CCMR2,7EFEE9,00000000,PWMB capture mode register 2,,OC6CE,OC6M2,OC6M1,OC6M0,OC6PE,OC6FE,CC6S1,CC6S0
8,PWMB_CCMR2,7EFEE9,00000000,PWMB compare mode register 2,,IC6F3,IC6F2,IC6F1,IC6F0,IC6PSC1,IC6PSC0,CC6S1,CC6S0
8,PWMB_CCMR3,7EFEEA,00000000,PWMB capture mode register 3,,OC7CE,OC7M2,OC7M1,OC7M0,OC7PE,OC7FE,CC7S1,CC7S0
8,PWMB_CCMR3,7EFEEA,00000000,PWMB compare mode register 3,,IC7F3,IC7F2,IC7F1,IC7F0,IC7PSC1,IC7PSC0,CC7S1,CC7S0
8,PWMB_CCMR4,7EFEEB,00000000,PWMB capture mode register 4,,OC8CE,OC8M2,OC8M1,OC8M0,OC8PE,OC8FE,CC8S1,CC8S0
8,PWMB_CCMR4,7EFEEB,00000000,PWMB compare mode register 4,,IC8F3,IC8F2,IC8F1,IC8F0,IC8PSC1,IC8PSC0,CC8S1,CC8S0
8,PWMB_CCER1,7EFEEC,00000000,PWMB capture compare enable register 1,,CC6NP,CC6NE,CC6P,CC6E,CC5NP,CC5NE,CC5P,CC5E
8,PWMB_CCER2,7EFEED,00000000,PWMB capture compare enable register 2,,CC8NP,CC8NE,CC8P,CC8E,CC7NP,CC7NE,CC7P,CC7E
8,PWMB_CNTRH,7EFEEE,00000000,PWMB counter high byte,,,,,,,,,
8,PWMB_CNTRL,7EFEEF,00000000,PWMB counter low byte,,,,,,,,,
8,PWMB_PSCRH,7EFEF0,00000000,PWMB prescale high byte,,,,,,,,,
8,PWMB_PSCRL,7EFEF1,00000000,PWMB prescale low byte,,,,,,,,,
8,PWMB_ARRH,7EFEF2,00000000,PWMB auto-reload register high byte,,,,,,,,,
8,PWMB_ARRL,7EFEF3,00000000,PWMB auto-reload register low byte,,,,,,,,,
8,PWMB_RCR,7EFEF4,00000000,PWMB repeat counter register,,,,,,,,,
8,PWMB_CCR1H,7EFEF5,00000000,PWMB compare capture register 1 high byte,,,,,,,,,
8,PWMB_CCR1L,7EFEF6,00000000,PWMB compare capture register 1 low byte,,,,,,,,,
8,PWMB_CCR2H,7EFEF7,00000000,PWMB compare capture register 2 high byte,,,,,,,,,
8,PWMB_CCR2L,7EFEF8,00000000,PWMB compare capture register 2 low byte,,,,,,,,,
8,PWMB_CCR3H,7EFEF9,00000000,PWMB compare capture register 3 high byte,,,,,,,,,
